orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
D-275,all,22,16,351,429,24,87789,0,0,0,0,0,D,3,Endothelial progenitor cell,39,16,2,2,2_6,pDC
D-276,all,68,30,1305,1914,34,102203,0,0,0,0,0,D,26,Alveolar type 2 cell,55,30,1,1,1_3,AT2
D-278,all,25,7,1304,468,21,33093,0,0,0,0,0,D,18,Sox9+/Id2+ epithelial cell,45,7,1,1,1_1,AT2
D-279,all,43,19,822,1793,26,41050,0,0,0,0,0,D,10,Alveolar type 1 cell,46,19,6,6,6,AT1
D-281,all,18,12,1655,1121,19,59780,0,0,0,0,0,D,4,Alveolar fibroblast 1,39,13,3,3,3_1,SMC
D-284,all,35,22,732,1653,23,69353,0,0,0,0,0,D,14,Pericyte,41,22,5,5,5_1,Pericyte
D-286,all,6,4,909,457,13,64380,353570,202197,151373,0.5718726,0.4281274,D,4,Proliferative mesenchymal progenitor cell,19,7,5,5,5_1,Pericyte
D-288,all,28,12,1347,1644,21,88309,0,0,0,0,0,D,16,Arterial endothelial cell,43,12,2,2,2_4,Artery
D-290,all,17,14,1511,91,38,40950,0,0,0,0,0,D,5,Pericyte,35,14,5,5,5_1,Pericyte
D-292,all,31,21,1599,415,18,58484,0,0,0,0,0,D,11,Ciliated cell,41,22,3,3,3_5,SMC
D-293,all,47,22,1508,1531,23,117326,0,0,0,0,0,D,8,Alveolar type 1 cell,48,23,2,2,2_3,Vein
D-294,all,25,16,1786,1648,21,80771,0,0,0,0,0,D,5,Sox9+/Id2+ epithelial cell,44,16,2,2,2_1,Capillary
D-296,all,14,6,1677,326,8,17692,0,0,0,0,0,D,9,Sox9+/Id2+ epithelial cell,38,6,1,1,1_1,AT2
D-299,all,29,15,1607,1707,26,85324,0,0,0,0,0,D,4,Endothelial progenitor cell,42,15,2,2,2_1,Capillary
D-301,all,22,10,1455,1416,32,42994,0,0,0,0,0,D,2,Alveolar type 1 cell,42,10,6,6,6,AT1
D-303,all,79,37,890,737,8,73173,0,0,0,0,0,D,14,Alveolar type 1 cell,56,37,6,6,6,AT1
D-305,all,42,5,874,813,17,23269,0,0,0,0,0,D,35,Sox9+/Id2+ epithelial cell,46,5,1,1,1_1,AT2
D-309,all,17,11,514,1081,7,28176,0,0,0,0,0,D,2,Endothelial progenitor cell,32,11,3,3,3_6,SCMF
D-311,all,25,13,1657,1194,10,74549,0,0,0,0,0,D,8,Alveolar fibroblast 1,42,14,3,3,3_1,SMC
