orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
G-239,all,26,15,1376,1182,14,31135,0,0,0,0,0,G,8,Alveolar fibroblast 2,42,15,3,3,3_3,AdventitialFib
G-241,all,15,9,918,740,38,13461,0,0,0,0,0,G,9,Innate lymphoid cell,39,10,3,3,3_5,SMC
G-244,all,21,15,1352,560,16,23897,0,0,0,0,0,G,6,Secondary crest myofibroblast,40,15,3,3,3_3,AdventitialFib
G-245,all,28,16,1702,1254,20,40123,0,0,0,0,0,G,3,Alveolar fibroblast 1,43,16,3,3,3_4,AdventitialFib
G-246,all,27,18,272,1032,22,52106,0,0,0,0,0,G,6,Vascular smooth muscle cell,41,18,3,3,3_6,SCMF
G-248,all,10,7,1389,1143,22,13289,0,0,0,0,0,G,3,Mesothelial cell,26,7,3,3,3_3,AdventitialFib
G-251,all,89,41,1076,3371,36,61669,50,0,50,0,1,G,6,Interstitial macrophage,57,41,8,8,8_2,InterstitialMac
G-252,all,137,23,1111,3659,34,67263,0,0,0,0,0,G,114,Alveolar type 2 cell,47,10,1,1,1_1,AT2
G-253,all,29,16,227,3801,20,76005,0,0,0,0,0,G,6,Innate lymphoid cell,39,16,3,3,3_4,AdventitialFib
G-254,all,123,52,464,2477,18,69979,0,0,0,0,0,G,25,Alveolar fibroblast 1,45,28,1,1,1_4_3,AlveolarFib
G-256,all,220,77,634,2385,17,83651,0,0,0,0,0,G,18,Inflammatory monocyte,59,46,2,2,2_2,InflamMac
G-257,all,84,39,1295,2239,31,63070,0,0,0,0,0,G,19,Arterial endothelial cell,57,39,2,2,2_4,Artery
G-258,all,76,29,809,2981,31,56848,0,0,0,0,0,G,35,Alveolar fibroblast 1,54,30,3,3,3_1,SMC
G-261,all,88,31,1548,3453,12,31323,0,0,0,0,0,G,43,Capillary 1 cell,54,30,4,4,4_2,CiliatedEpi
G-262,all,79,39,1255,3769,29,39027,0,0,0,0,0,G,14,Mesothelial cell,59,39,3,3,3_3,AdventitialFib
G-263,all,119,20,587,3567,15,81675,0,0,0,0,0,G,104,Alveolar type 2 cell,47,10,1,1,1_3,AT2
G-264,all,101,47,564,2674,23,64379,0,0,0,0,0,G,12,Alveolar fibroblast 1,60,41,1,1,1_4_1,AlveolarFib
G-265,all,88,40,54,2815,26,79686,0,0,0,0,0,G,16,Arterial endothelial cell,61,40,6,6,6,AT1
G-266,all,128,27,317,2405,12,63020,0,0,0,0,0,G,97,Sox9+/Id2+ epithelial cell,44,10,1,1,1_1,AT2
G-267,all,128,50,1754,2187,30,56740,0,0,0,0,0,G,18,Interstitial macrophage,46,21,8,8,8_3,InterstitialMac
G-268,all,51,22,654,3690,28,102954,0,0,0,0,0,G,11,Inflammatory monocyte,53,24,2,2,2_5,DC
G-269,all,173,27,412,2888,14,131360,0,0,0,0,0,G,139,Alveolar type 2 cell,49,14,1,1,1_3,AT2
G-271,all,109,40,672,2508,18,86619,0,0,0,0,0,G,13,Natural killer cell,53,32,2,2,2_5,DC
G-272,all,161,54,378,2273,22,80929,0,0,0,0,0,G,13,Alveolar type 1 cell,48,26,6,6,6,AT1
G-274,all,23,14,156,3617,12,81473,0,0,0,0,0,G,4,Alveolar fibroblast 1,40,15,2,2,2_4,Artery
G-276,all,89,40,670,2443,13,71682,0,0,0,0,0,G,8,Inflammatory monocyte,64,42,2,2,2_5,DC
G-277,all,38,18,667,3586,15,45763,53,0,53,0,1,G,10,Alveolar macrophage,41,18,6,6,6,AT1
G-278,all,26,16,1356,2441,19,23252,0,0,0,0,0,G,2,Neutrophil,46,16,1,1,1_5_2,AlveolarFib
G-279,all,132,54,92,2701,24,104746,0,0,0,0,0,G,16,Arterial endothelial cell,49,31,8,8,8_2,InterstitialMac
G-280,all,34,21,28,3235,35,70790,0,0,0,0,0,G,4,Mesothelial cell,40,21,3,3,3_3,AdventitialFib
G-281,all,33,19,1372,2472,16,32422,0,0,0,0,0,G,5,Sox9+/Id2+ epithelial cell,43,20,3,3,3_2,SMC
G-282,all,84,47,494,2512,34,41624,0,0,0,0,0,G,9,Mesothelial cell,62,47,8,8,8_2,InterstitialMac
G-284,all,139,59,1845,2720,35,77844,0,0,0,0,0,G,22,Innate lymphoid cell,49,33,3,3,3_4,AdventitialFib
G-285,all,54,23,1308,3088,7,38209,0,0,0,0,0,G,5,CD4+ T cell,52,23,1,1,1_3,AT2
G-290,all,68,24,1064,3641,35,64735,0,0,0,0,0,G,31,T regulatory cell,55,24,7,7,7_3,Tcell (CD8)
G-291,all,104,50,391,2455,30,90524,0,0,0,0,0,G,7,B cell,54,36,1,1,1_2_1,Tcell (CD4)
G-292,all,448,110,1587,3487,28,87931,0,0,0,0,0,G,218,Ciliated cell,41,34,4,4,4_2,CiliatedEpi
G-293,all,10,10,170,3078,29,52116,51,0,51,0,1,G,6,Neutrophil,30,11,3,3,3_2,SMC
G-294,all,108,45,235,2268,27,75441,0,0,0,0,0,G,27,Alveolar fibroblast 1,59,36,1,1,1_4_3,AlveolarFib
G-295,all,86,43,1189,3375,37,43107,0,0,0,0,0,G,6,Inflammatory monocyte,60,43,3,3,3_3,AdventitialFib
G-296,all,14,11,401,2146,37,19367,0,0,0,0,0,G,2,CD4+ T cell,33,12,1,1,1_4_1,AlveolarFib
G-297,all,24,12,315,3786,13,60898,0,0,0,0,0,G,6,Inflammatory monocyte,41,12,1,1,1_2_3,Tcell (CD4)
G-298,all,42,20,486,2883,16,47514,64,0,64,0,1,G,10,Proliferative mesenchymal progenitor cell,44,21,3,3,3_1,SMC
G-299,all,57,34,869,3626,23,95358,0,0,0,0,0,G,13,Innate lymphoid cell,56,34,3,3,3_6,SCMF
G-300,all,63,34,350,2000,27,58512,0,0,0,0,0,G,3,Alveolar fibroblast 1,57,34,1,1,1_5_1,LymphaticEndo
G-301,all,66,44,525,2542,38,37577,0,0,0,0,0,G,13,Alveolar macrophage,61,44,1,1,1_4_3,AlveolarFib
G-302,all,80,34,1213,2472,25,50968,0,0,0,0,0,G,17,Alveolar fibroblast 1,58,35,3,3,3_2,SMC
G-304,all,250,65,1044,3419,15,79481,111,111,0,1,0,G,14,Alveolar macrophage,46,26,6,6,6,AT1
G-306,all,100,33,371,2155,38,38380,58,0,58,0,1,G,62,Classical DC subset 2,58,29,3,3,3_5,SMC
G-310,all,223,62,1483,3757,26,80287,0,0,0,0,0,G,118,Mesothelial cell,39,24,4,4,4_2,CiliatedEpi
G-311,all,264,46,696,2807,13,88608,0,0,0,0,0,G,182,Sox9+/Id2+ epithelial cell,46,13,1,1,1_1,AT2
G-312,all,23,15,70,2947,15,36780,0,0,0,0,0,G,5,CD8+ T cell,41,15,2,2,2_1,Capillary
G-314,all,38,21,35,2171,22,50802,0,0,0,0,0,G,6,Alveolar fibroblast 1,41,22,3,3,3_1,SMC
G-315,all,210,47,794,2927,31,100658,0,0,0,0,0,G,131,Alveolar type 2 cell,49,22,3,3,3_5,SMC
G-317,all,147,47,1466,3647,18,62764,0,0,0,0,0,G,50,Secretory cell,47,30,4,4,4_1_2,CiliatedEpi
G-319,all,43,22,1403,3139,37,30426,0,0,0,0,0,G,3,B cell,45,22,9,9,9,Bcell
G-321,all,147,52,48,2748,18,98027,0,0,0,0,0,G,24,Alveolar type 1 cell,49,29,6,6,6,AT1
G-322,all,144,51,1593,3383,21,56115,0,0,0,0,0,G,20,Mesothelial cell,49,25,3,3,3_3,AdventitialFib
