orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
H-203,all,22,15,1339,15,18,49265,0,0,0,0,0,H,4,Natural killer cell,42,16,2,2,2_2,InflamMac
H-204,all,53,15,1740,703,30,66890,0,0,0,0,0,H,43,Innate lymphoid cell,50,15,8,8,8_2,InterstitialMac
H-205,all,152,60,362,1051,11,78576,113,0,113,0,1,H,39,Alveolar macrophage,50,26,8,8,8_1,AlveolarMac
H-207,all,21,13,1792,97,36,59122,0,0,0,0,0,H,8,Alveolar type 1 cell,40,13,6,6,6,AT1
H-209,all,56,14,958,46,8,51989,0,0,0,0,0,H,45,Alveolar type 2 cell,50,14,1,1,1_3,AT2
H-212,all,159,33,638,100,13,73472,0,0,0,0,0,H,30,Alveolar type 1 cell,47,11,6,6,6,AT1
H-213,all,19,11,1761,94,29,29513,0,0,0,0,0,H,3,B cell,37,11,9,9,9,Bcell
H-216,all,11,8,461,1511,19,32690,0,0,0,0,0,H,5,Pericyte,35,8,5,5,5_3,Pericyte
H-218,all,10,9,590,3,13,28749,0,0,0,0,0,H,5,Alveolar type 2 cell,29,9,1,1,1_5_4,pDC
H-219,all,65,30,617,64,21,94951,0,0,0,0,0,H,19,Alveolar type 2 cell,54,30,2,2,2_1,Capillary
H-221,all,25,15,293,1101,31,55456,0,0,0,0,0,H,10,B cell,43,15,9,9,9,Bcell
H-222,all,82,25,9,1407,22,62449,0,0,0,0,0,H,60,Alveolar type 2 cell,56,25,1,1,1_3,AT2
H-223,all,14,9,1191,254,7,20358,0,0,0,0,0,H,5,Alveolar fibroblast 1,30,10,1,1,1_5_1,LymphaticEndo
H-224,all,25,20,8,1309,24,38910,0,0,0,0,0,H,6,Secondary crest myofibroblast,45,20,5,5,5_3,Pericyte
H-225,all,35,23,1226,94,26,46265,0,0,0,0,0,H,4,Pericyte,41,23,5,5,5_1,Pericyte
H-226,all,17,11,547,409,15,32246,0,0,0,0,0,H,5,Alveolar fibroblast 1,35,11,1,1,1_5_2,AlveolarFib
H-232,all,66,39,447,424,33,88544,0,0,0,0,0,H,9,Secondary crest myofibroblast,58,39,6,6,6,AT1
H-233,all,60,37,760,918,32,96337,0,0,0,0,0,H,5,Inflammatory monocyte,57,37,7,7,7_2,PatrolMac
