orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
C-332,all,25,8,1091,710,41,12996,0,0,0,0,0,C,14,Alveolar type 2 cell,43,8,1,1,1_1,AT2
C-334,all,7,5,1330,1,11,22766,0,0,0,0,0,C,3,Alveolar fibroblast 1,26,6,1,1,1_4_3,AlveolarFib
C-336,all,65,22,501,1117,29,83827,0,0,0,0,0,C,38,Alveolar type 2 cell,54,22,1,1,1_3,AT2
C-339,all,19,6,1850,683,38,15319,0,0,0,0,0,C,9,Sox9+/Id2+ epithelial cell,42,6,1,1,1_1,AT2
C-341,all,8,5,990,55,41,11474,0,0,0,0,0,C,2,Alveolar type 1 cell,32,6,6,6,6,AT1
C-344,all,38,25,391,258,32,59232,0,0,0,0,0,C,6,Alveolar fibroblast 1,41,25,3,3,3_1,SMC
C-345,all,32,22,1022,1529,38,46958,0,0,0,0,0,C,2,Sox9+/Id2+ epithelial cell,41,22,2,2,2_3,Vein
C-347,all,37,25,401,1426,21,83591,0,0,0,0,0,C,11,CD4+ T cell,40,25,3,3,3_6,SCMF
C-348,all,90,28,258,992,19,121506,0,0,0,0,0,C,53,Alveolar type 2 cell,58,28,1,1,1_3,AT2
C-349,all,32,10,1323,49,38,40784,0,0,0,0,0,C,25,Alveolar type 2 cell,43,10,1,1,1_3,AT2
C-350,all,21,16,1427,1321,29,38954,0,0,0,0,0,C,3,AT1/AT2,42,16,1,1,1_3,AT2
C-351,all,35,24,1659,1539,18,115411,0,0,0,0,0,C,6,Venous endothelial cell,40,24,4,4,4_1_1,ClubEpi
C-358,all,24,11,289,1040,38,40461,0,0,0,0,0,C,5,Alveolar type 1 cell,43,11,6,6,6,AT1
C-360,all,14,10,1805,1379,34,34195,0,0,0,0,0,C,6,Pericyte,31,10,5,5,5_1,Pericyte
C-361,all,25,18,691,1391,32,72943,0,0,0,0,0,C,3,Alveolar fibroblast 1,47,18,1,1,1_5_2,AlveolarFib
C-363,all,77,15,29,1825,22,110337,0,0,0,0,0,C,64,Alveolar type 2 cell,54,15,1,1,1_1,AT2
