orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
A-142,all,57,18,481,265,31,74441,0,0,0,0,0,A,10,Alveolar type 1 cell,52,18,6,6,6,AT1
A-144,all,24,18,482,1574,11,57068,0,0,0,0,0,A,3,Pericyte,45,18,5,5,5_3,Pericyte
A-146,all,7,4,1416,327,14,7820,0,0,0,0,0,A,4,Sox9+/Id2+ epithelial cell,28,6,1,1,1_3,AT2
A-147,all,9,5,1447,916,18,18038,0,0,0,0,0,A,5,Proliferative mesenchymal progenitor cell,28,6,3,3,3_1,SMC
A-148,all,38,22,418,1606,11,50624,0,0,0,0,0,A,6,Capillary 1 cell,41,22,6,6,6,AT1
A-149,all,24,18,968,1357,15,57934,0,0,0,0,0,A,2,Capillary 1 cell,44,18,2,2,2_1,Capillary
A-151,all,56,37,272,134,29,95872,0,0,0,0,0,A,10,Inflammatory monocyte,55,37,7,7,7_2,PatrolMac
A-152,all,28,13,1541,577,26,62556,0,0,0,0,0,A,17,Pericyte,46,13,5,5,5_1,Pericyte
A-154,all,38,22,577,1836,13,55741,0,0,0,0,0,A,9,Alveolar fibroblast 1,43,22,1,1,1_5_1,LymphaticEndo
A-155,all,14,9,325,1390,37,47022,0,0,0,0,0,A,2,Basophil,34,11,2,2,2_5,DC
A-156,all,14,11,471,952,25,75906,0,0,0,0,0,A,3,Proliferative mesenchymal progenitor cell,36,12,3,3,3_1,SMC
A-159,all,52,12,1486,898,15,29613,0,0,0,0,0,A,39,Alveolar type 2 cell,50,12,1,1,1_3,AT2
A-162,all,45,21,723,1418,8,38381,0,0,0,0,0,A,13,Sox9+/Id2+ epithelial cell,50,23,2,2,2_5,DC
A-164,all,14,11,1453,809,26,20411,0,0,0,0,0,A,4,Endothelial progenitor cell,30,12,2,2,2_1,Capillary
A-165,all,25,18,444,915,17,77510,0,0,0,0,0,A,10,Alveolar macrophage,44,18,8,8,8_1,AlveolarMac
A-167,all,11,9,1065,1563,33,24289,0,0,0,0,0,A,3,Sox9+/Id2+ epithelial cell,33,9,2,2,2_1,Capillary
A-168,all,117,15,1478,324,16,73785,0,0,0,0,0,A,107,Alveolar type 2 cell,47,7,1,1,1_3,AT2
A-170,all,19,8,504,1353,28,57644,0,0,0,0,0,A,2,Alveolar type 1 cell,43,8,2,2,2_6,pDC
A-172,all,52,16,668,191,37,37109,0,0,0,0,0,A,39,Alveolar type 2 cell,50,16,1,1,1_3,AT2
A-178,all,34,20,174,1695,30,58814,0,0,0,0,0,A,7,Sox9+/Id2+ epithelial cell,43,20,2,2,2_6,pDC
A-180,all,32,21,1710,1184,10,37534,0,0,0,0,0,A,2,Natural killer cell,40,22,2,2,2_2,InflamMac
A-181,all,49,26,202,1826,16,74120,0,0,0,0,0,A,2,Alveolar fibroblast 1,49,26,2,2,2_3,Vein
A-182,all,16,4,1538,739,34,14333,0,0,0,0,0,A,12,Sox9+/Id2+ epithelial cell,39,4,1,1,1_3,AT2
A-185,all,90,25,1151,1184,25,75107,0,0,0,0,0,A,60,Alveolar type 2 cell,57,24,1,1,1_3,AT2
A-187,all,88,25,1462,1308,30,65966,0,0,0,0,0,A,68,Alveolar type 2 cell,56,24,1,1,1_1,AT2
A-188,all,40,27,18,334,27,51553,0,0,0,0,0,A,8,Arterial endothelial cell,42,28,2,2,2_4,Artery
A-189,all,20,15,1301,145,6,25030,0,0,0,0,0,A,6,Alveolar fibroblast 1,39,15,6,6,6,AT1
A-190,all,40,12,41,362,32,52578,0,0,0,0,0,A,32,Alveolar type 2 cell,46,12,1,1,1_3,AT2
A-191,all,49,24,451,377,29,78053,0,0,0,0,0,A,13,Arterial endothelial cell,49,24,2,2,2_4,Artery
A-196,all,99,50,1798,1589,22,67224,0,0,0,0,0,A,8,B cell,63,48,2,2,2_1,Capillary
A-199,all,81,39,1819,1541,20,66159,0,0,0,0,0,A,6,Sox9+/Id2+ epithelial cell,57,39,2,2,2_1,Capillary
A-200,all,35,18,1149,1477,28,57210,0,0,0,0,0,A,9,Alveolar type 1 cell,43,18,6,6,6,AT1
A-202,all,23,6,305,1862,20,23784,0,0,0,0,0,A,17,Sox9+/Id2+ epithelial cell,45,6,1,1,1_1,AT2
A-203,all,52,10,818,1252,39,39178,0,0,0,0,0,A,46,Alveolar type 2 cell,49,10,1,1,1_1,AT2
A-208,all,42,25,1666,923,16,64106,0,0,0,0,0,A,3,Capillary 1 cell,43,26,2,2,2_1,Capillary
A-210,all,41,27,1906,1347,27,60007,0,0,0,0,0,A,10,Alveolar fibroblast 1,42,27,5,5,5_1,Pericyte
A-211,all,53,27,1498,975,11,54853,0,0,0,0,0,A,3,Capillary 1 cell,52,26,2,2,2_1,Capillary
A-212,all,7,5,671,1403,9,20093,0,0,0,0,0,A,4,Sox9+/Id2+ epithelial cell,30,7,2,2,2_6,pDC
A-214,all,23,6,379,1054,35,46042,0,0,0,0,0,A,18,Sox9+/Id2+ epithelial cell,45,6,1,1,1_1,AT2
A-216,all,42,11,738,1812,25,40813,0,0,0,0,0,A,8,Alveolar type 1 cell,45,11,6,6,6,AT1
A-217,all,24,19,212,1599,11,47250,0,0,0,0,0,A,6,B cell,44,19,7,7,7_3,Tcell (CD8)
A-221,all,26,15,18,1223,36,60513,0,0,0,0,0,A,2,Natural killer cell,39,16,2,2,2_2,InflamMac
