orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
J-136,all,39,24,816,1509,23,29314,0,0,0,0,0,J,3,Alveolar macrophage,42,25,3,3,3_2,SMC
J-137,all,177,76,326,829,33,62126,0,0,0,0,0,J,44,Arterial endothelial cell,42,30,4,4,4_1_2,CiliatedEpi
J-138,all,55,26,1810,1175,23,93499,0,0,0,0,0,J,2,CD4+ T cell,54,26,1,1,1_2_1,Tcell (CD4)
J-141,all,70,44,513,943,34,39172,0,0,0,0,0,J,8,Alveolar macrophage,61,44,3,3,3_3,AdventitialFib
J-142,all,102,54,139,105,38,36840,0,0,0,0,0,J,50,Endothelial progenitor cell,67,46,4,4,4_1_2,ClubEpi
J-143,all,119,55,901,1644,24,55084,0,0,0,0,0,J,7,CD4+ T cell,41,22,1,1,1_2_1,Tcell (CD4)
J-144,all,88,46,577,1281,39,30684,0,0,0,0,0,J,33,Arterial endothelial cell,61,45,3,3,3_3,AdventitialFib
J-145,all,209,76,646,1588,22,125500,0,0,0,0,0,J,26,Arterial endothelial cell,55,45,7,7,7_3,Tcell (CD8)
J-147,all,116,47,484,1205,20,88813,0,0,0,0,0,J,67,Arterial endothelial cell,62,46,4,4,4_2,CiliatedEpi
J-149,all,125,50,381,138,33,59837,0,0,0,0,0,J,8,Alveolar fibroblast 1,45,24,7,7,7_3,Tcell (CD8)
J-150,all,95,48,425,971,26,68520,0,0,0,0,0,J,44,Ciliated cell,67,47,4,4,4_1_2,ClubEpi
J-151,all,51,29,315,520,18,37251,0,0,0,0,0,J,11,CD4+ T cell,52,30,3,3,3_2,SMC
J-153,all,41,27,1529,1395,9,35431,0,0,0,0,0,J,4,CD4+ T cell,42,27,1,1,1_2_1,Tcell (CD4)
J-154,all,230,81,738,1388,27,119991,0,0,0,0,0,J,21,Alveolar fibroblast 2,51,40,3,3,3_3,AdventitialFib
J-155,all,496,137,642,1842,21,117358,0,0,0,0,0,J,146,Inflammatory monocyte,46,41,4,4,4_1_1,CiliatedEpi
J-156,all,268,83,1150,548,18,126692,0,0,0,0,0,J,22,Proliferative mesenchymal progenitor cell,50,40,3,3,3_3,AdventitialFib
J-157,all,30,18,505,1131,22,51289,0,0,0,0,0,J,8,Secondary crest myofibroblast,40,19,3,3,3_2,SMC
J-159,all,103,47,1413,1860,23,74851,0,0,0,0,0,J,8,Alveolar fibroblast 1,55,36,6,6,6,AT1
J-160,all,48,26,1183,252,36,24905,0,0,0,0,0,J,2,Alveolar fibroblast 2,48,26,3,3,3_3,AdventitialFib
J-161,all,15,9,782,1732,41,10209,0,0,0,0,0,J,3,Sox9+/Id2+ epithelial cell,32,10,3,3,3_2,SMC
J-162,all,248,69,1271,187,19,118958,0,0,0,0,0,J,10,Inflammatory monocyte,51,30,2,2,2_2,InflamMac
J-163,all,24,16,822,1430,39,16360,0,0,0,0,0,J,4,Alveolar macrophage,46,17,1,1,1_4_1,AlveolarFib
J-164,all,283,69,1289,1630,23,119966,0,0,0,0,0,J,14,Sox9+/Id2+ epithelial cell,54,34,1,1,1_2_1,Tcell (CD4)
J-166,all,44,25,1199,1503,30,47182,0,0,0,0,0,J,4,CD4+ T cell,47,26,1,1,1_4_1,AlveolarFib
J-169,all,62,32,1477,1347,25,28097,0,0,0,0,0,J,4,Proliferative mesenchymal progenitor cell,53,32,1,1,1_2_1,Tcell (CD4)
