orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
B-204,all,8,5,802,1180,39,29317,0,0,0,0,0,B,4,Vascular smooth muscle cell,25,7,3,3,3_2,SMC
B-206,all,17,11,1289,1305,7,29003,0,0,0,0,0,B,4,Secondary crest myofibroblast,34,12,2,2,2_1,Capillary
B-207,all,136,31,217,424,19,77223,0,0,0,0,0,B,100,Alveolar type 2 cell,46,13,1,1,1_1,AT2
B-208,all,63,16,598,1476,28,49276,0,0,0,0,0,B,56,B cell,53,16,1,1,1_3,AT2
B-209,all,55,26,1013,1539,33,52179,0,0,0,0,0,B,24,Alveolar fibroblast 1,53,26,2,2,2_1,Capillary
B-210,all,22,15,622,1384,37,25681,0,0,0,0,0,B,5,Sox9+/Id2+ epithelial cell,44,17,2,2,2_1,Capillary
B-211,all,73,34,1239,799,30,76026,0,0,0,0,0,B,12,Inflammatory monocyte,58,36,2,2,2_5,DC
B-213,all,56,30,652,1094,16,73650,0,0,0,0,0,B,19,Alveolar fibroblast 1,53,29,1,1,1_5_1,LymphaticEndo
B-214,all,26,18,1098,269,34,23725,0,0,0,0,0,B,5,Alveolar type 1 cell,45,18,6,6,6,AT1
B-215,all,285,22,118,186,25,86128,0,0,0,0,0,B,266,Mesothelial cell,41,22,4,4,4_2,CiliatedEpi
B-217,all,87,20,1320,634,15,56955,0,0,0,0,0,B,66,Alveolar type 2 cell,56,19,1,1,1_1,AT2
B-218,all,53,16,101,1897,13,56346,0,0,0,0,0,B,14,Natural killer cell,50,16,7,7,7_2,PatrolMac
B-219,all,58,27,1017,714,31,101620,0,0,0,0,0,B,2,Secondary crest myofibroblast,55,28,3,3,3_2,SMC
B-220,all,51,15,1379,683,33,26935,0,0,0,0,0,B,8,Sox9+/Id2+ epithelial cell,50,15,7,7,7_3,Tcell (CD8)
B-222,all,54,22,1449,1203,20,54585,0,0,0,0,0,B,24,Secondary crest myofibroblast,53,23,3,3,3_1,SMC
B-224,all,71,31,746,296,27,61378,0,0,0,0,0,B,17,Alveolar type 2 cell,54,30,2,2,2_1,Capillary
B-226,all,51,16,903,1438,15,64586,0,0,0,0,0,B,12,Alveolar type 1 cell,50,16,6,6,6,AT1
B-229,all,62,28,96,1757,24,88508,0,0,0,0,0,B,10,Inflammatory monocyte,56,30,2,2,2_5,DC
B-230,all,71,29,1233,1203,23,70329,0,0,0,0,0,B,18,Alveolar type 1 cell,52,29,1,1,1_5_2,AlveolarFib
B-231,all,38,24,562,935,8,31502,0,0,0,0,0,B,11,Pericyte,42,24,5,5,5_3,Pericyte
B-233,all,11,10,1471,1169,12,11245,0,0,0,0,0,B,4,Alveolar fibroblast 1,30,12,1,1,1_5_1,LymphaticEndo
B-234,all,25,16,709,1277,27,53760,0,0,0,0,0,B,10,Pericyte,45,17,1,1,1_4_3,AlveolarFib
B-238,all,92,14,910,803,10,52891,0,0,0,0,0,B,81,Alveolar fibroblast 1,52,13,1,1,1_1,AT2
B-239,all,45,25,836,1359,37,47691,0,0,0,0,0,B,6,Arterial endothelial cell,45,25,2,2,2_4,Artery
B-240,all,36,19,127,1852,16,41629,0,0,0,0,0,B,9,Arterial endothelial cell,40,19,2,2,2_1,Capillary
B-241,all,24,13,1050,1134,31,60835,0,0,0,0,0,B,10,Pericyte,43,13,5,5,5_1,Pericyte
B-242,all,74,20,623,1334,28,50886,0,0,0,0,0,B,16,Alveolar fibroblast 1,54,20,6,6,6,AT1
B-243,all,8,5,1359,1659,4,14919,0,0,0,0,0,B,2,B cell,25,7,9,9,9,Bcell
B-244,all,8,6,821,1138,40,14880,0,0,0,0,0,B,2,Arterial endothelial cell,32,7,2,2,2_4,Artery
B-245,all,75,24,1350,662,23,46581,0,0,0,0,0,B,41,Alveolar type 2 cell,54,24,1,1,1_1,AT2
B-246,all,18,11,958,1282,39,20297,0,0,0,0,0,B,4,Alveolar type 1 cell,37,11,1,1,1_5_2,AlveolarFib
B-247,all,138,31,1240,1782,19,90475,0,0,0,0,0,B,95,Alveolar type 2 cell,46,13,1,1,1_3,AT2
B-248,all,22,18,15,1671,34,42099,0,0,0,0,0,B,5,Capillary 1 cell,44,19,2,2,2_1,Capillary
B-249,all,60,33,336,236,23,81296,0,0,0,0,0,B,18,Innate lymphoid cell,55,33,1,1,1_4_1,AlveolarFib
B-250,all,65,26,660,953,17,61987,0,0,0,0,0,B,31,Alveolar fibroblast 1,54,26,1,1,1_4_3,AlveolarFib
B-252,all,17,12,1396,736,21,24298,0,0,0,0,0,B,3,Natural killer cell,36,13,2,2,2_2,InflamMac
B-255,all,130,34,790,1346,17,96700,0,0,0,0,0,B,89,Alveolar type 2 cell,44,11,2,2,2_1,Capillary
B-257,all,21,13,790,939,39,33791,0,0,0,0,0,B,5,CD8+ T cell,40,13,2,2,2_3,Vein
B-262,all,64,27,332,1792,9,40581,0,0,0,0,0,B,11,Alveolar type 1 cell,53,27,6,6,6,AT1
B-263,all,13,7,860,300,41,15973,0,0,0,0,0,B,3,Alveolar fibroblast 1,31,7,1,1,1_5_1,LymphaticEndo
B-264,all,23,10,1417,1136,23,21553,0,0,0,0,0,B,9,Alveolar fibroblast 1,40,10,1,1,1_4_3,AlveolarFib
B-265,all,30,19,1134,236,25,48168,0,0,0,0,0,B,8,Alveolar type 1 cell,42,20,1,1,1_4_3,AlveolarFib
B-267,all,19,11,935,1462,14,41650,0,0,0,0,0,B,6,Arterial endothelial cell,37,12,2,2,2_4,Artery
B-269,all,40,11,636,0,36,21689,0,0,0,0,0,B,28,Alveolar macrophage,45,11,1,1,1_3,AT2
B-270,all,79,36,762,1146,36,92660,0,0,0,0,0,B,31,Vascular smooth muscle cell,56,36,3,3,3_2,SMC
B-272,all,13,4,1316,765,39,10731,0,0,0,0,0,B,10,Sox9+/Id2+ epithelial cell,38,4,1,1,1_1,AT2
B-274,all,54,31,827,755,31,42774,0,0,0,0,0,B,8,Alveolar type 1 cell,54,33,2,2,2_5,DC
B-277,all,92,35,591,1337,27,77558,0,0,0,0,0,B,18,Capillary 1 cell,59,35,6,6,6,AT1
B-278,all,88,30,637,205,25,59034,0,0,0,0,0,B,21,Alveolar type 1 cell,60,30,6,6,6,AT1
B-279,all,7,6,1100,1792,41,15584,0,0,0,0,0,B,4,Pericyte,25,9,5,5,5_3,Pericyte
B-283,all,109,36,1007,323,29,75313,0,0,0,0,0,B,33,Alveolar type 1 cell,55,27,6,6,6,AT1
B-284,all,28,17,78,511,41,22661,0,0,0,0,0,B,4,Capillary 2 cell,42,17,2,2,2_1,Capillary
B-285,all,57,20,958,797,23,85781,0,0,0,0,0,B,44,Pericyte,52,20,5,5,5_3,Pericyte
B-287,all,21,11,851,0,23,21949,0,0,0,0,0,B,3,Pericyte,38,11,5,5,5_3,Pericyte
B-288,all,33,18,918,72,23,47909,0,0,0,0,0,B,6,B cell,42,18,3,3,3_4,AdventitialFib
B-289,all,33,22,657,1353,22,66194,0,0,0,0,0,B,4,Alveolar type 2 cell,40,22,3,3,3_3,AdventitialFib
B-295,all,64,16,934,1352,13,51181,0,0,0,0,0,B,48,Neutrophil,53,16,2,2,2_1,Capillary
B-296,all,13,8,1371,774,39,12670,0,0,0,0,0,B,7,Mesothelial cell,34,8,3,3,3_3,AdventitialFib
B-297,all,35,14,1165,1695,32,42361,0,0,0,0,0,B,5,Arterial endothelial cell,44,14,6,6,6,AT1
B-299,all,42,23,1368,729,29,56810,0,0,0,0,0,B,16,Interstitial macrophage,43,23,8,8,8_3,InterstitialMac
B-301,all,35,20,683,1258,26,53749,0,0,0,0,0,B,5,Secondary crest myofibroblast,44,21,3,3,3_2,SMC
B-303,all,62,28,489,1617,12,64217,0,0,0,0,0,B,6,Arterial endothelial cell,56,28,2,2,2_4,Artery
B-311,all,12,4,593,978,11,12856,0,0,0,0,0,B,8,Pericyte,25,4,5,5,5_3,Pericyte
B-312,all,13,12,644,171,37,19262,0,0,0,0,0,B,3,Alveolar macrophage,31,13,3,3,3_1,SMC
B-315,all,65,15,618,1453,27,37656,0,0,0,0,0,B,50,Alveolar type 2 cell,52,15,1,1,1_1,AT2
B-316,all,22,15,1235,714,16,36988,0,0,0,0,0,B,3,Arterial endothelial cell,41,15,2,2,2_4,Artery
B-317,all,10,6,941,710,12,18179,0,0,0,0,0,B,2,Alveolar type 1 cell,24,6,1,1,1_2_3,Tcell (CD4)
B-318,all,16,7,147,1912,16,9900,0,0,0,0,0,B,8,Sox9+/Id2+ epithelial cell,37,8,3,3,3_2,SMC
B-321,all,33,16,987,1347,31,25688,0,0,0,0,0,B,17,Alveolar type 2 cell,43,18,2,2,2_4,Artery
B-323,all,8,6,774,1401,15,7875,0,0,0,0,0,B,3,Alveolar fibroblast 1,28,7,1,1,1_4_3,AlveolarFib
B-325,all,26,22,617,1302,19,42341,0,0,0,0,0,B,6,Arterial endothelial cell,46,22,2,2,2_4,Artery
B-331,all,55,18,1528,3717,36,43626,0,0,0,0,0,B,5,Endothelial progenitor cell,51,18,6,6,6,AT1
B-332,all,32,21,549,3350,34,74572,0,0,0,0,0,B,13,Secondary crest myofibroblast,38,22,3,3,3_1,SMC
B-333,all,36,21,1909,3015,33,57616,0,0,0,0,0,B,11,Inflammatory monocyte,42,23,2,2,2_5,DC
B-335,all,29,21,1611,3673,38,43986,0,0,0,0,0,B,6,Pericyte,37,21,5,5,5_1,Pericyte
